entry_time,entry_price,exit_time,exit_price,hold_seconds,quantity,profit_bps,cost_bps,net_profit_bps,pnl_amount,merge_count
2025-12-10 11:05:45,1.554,2025-12-10 11:07:45,1.555,120.0,135700.0,6.435006435005726,2.0,4.435006435005726,93.51086999996915,0.0
2025-12-10 11:16:57,1.555,2025-12-10 11:18:36,1.556,99.0,135600.0,6.430868167203292,2.0,4.430868167203292,93.41484000001219,0.0
2025-12-10 13:25:51,1.553,2025-12-10 13:27:51,1.554,120.0,135900.0,6.439150032196471,2.0,4.439150032196471,93.6758700000355,0.0
2025-12-10 13:30:33,1.555,2025-12-10 13:35:30,1.559,297.0,135800.0,25.723472668810313,2.0,23.72347266881031,0.0,2.0
2025-12-10 13:40:15,1.557,2025-12-10 13:42:15,1.558,120.0,135800.0,6.422607578677662,2.0,4.422607578677662,93.49830000000657,0.0
2025-12-10 13:43:54,1.557,2025-12-10 13:45:33,1.558,99.0,135800.0,6.422607578677662,2.0,4.422607578677662,93.49830000000657,0.0
2025-12-10 14:03:30,1.558,2025-12-10 14:05:30,1.559,120.0,135800.0,6.418485237483247,2.0,4.418485237483247,93.47114000000875,0.0
2025-12-10 14:09:33,1.56,2025-12-10 14:11:12,1.562,99.0,135700.0,12.820512820512832,2.0,10.82051282051283,229.0344599999953,0.0
2025-12-10 14:20:33,1.561,2025-12-10 14:21:27,1.562,54.0,135700.0,6.406149903908469,2.0,4.406149903908469,93.3208900000318,0.0
2025-12-10 14:26:03,1.561,2025-12-10 14:27:00,1.562,57.0,135800.0,6.406149903908469,2.0,4.406149903908469,93.38966000004439,0.0
2025-12-10 14:55:06,1.562,2025-12-10 14:57:00,1.563,114.0,135800.0,6.402048655569077,2.0,4.402048655569078,93.36250000001746,0.0
2025-12-11 09:30:09,1.577,2025-12-11 09:31:36,1.58,87.0,134500.0,19.023462270133887,2.0,17.023462270133887,361.0383500000171,0.0
2025-12-11 09:32:09,1.579,2025-12-11 09:32:21,1.58,12.0,134600.0,6.333122229259734,2.0,4.333122229259734,92.079859999998,0.0
2025-12-11 09:34:09,1.579,2025-12-11 09:36:09,1.58,120.0,134700.0,6.333122229259734,2.0,4.333122229259734,92.14827000000514,0.0
2025-12-11 09:37:54,1.579,2025-12-11 09:39:54,1.58,120.0,134700.0,6.333122229259734,2.0,4.333122229259734,92.14827000000514,0.0
