run_id,regime,duration
1017,normal:neutral,50
1018,normal:trending,50
1019,normal:neutral,50
1020,normal:trending,85
1021,normal:neutral,75
1022,normal:trending,50
1023,normal:neutral,57
1024,normal:trending,65
1025,normal:neutral,53
1026,normal:trending,50
1027,normal:neutral,74
1028,normal:trending,61
1029,normal:neutral,55
1030,normal:trending,50
1031,normal:neutral,90
1032,normal:trending,50
1033,normal:neutral,50
1034,normal:trending,58
1035,normal:neutral,77
1036,normal:trending,50
1037,normal:neutral,50
1038,normal:trending,50
1039,normal:neutral,177
1040,normal:trending,53
1041,normal:neutral,50
1042,normal:trending,57
1043,normal:neutral,50
1044,normal:trending,50
1045,normal:neutral,53
1046,normal:trending,57
1047,normal:neutral,50
1048,normal:trending,50
1049,normal:neutral,63
1050,normal:trending,78
1051,normal:neutral,50
1052,normal:trending,51
1053,normal:neutral,10
1054,high_volatility:neutral,41
1055,normal:neutral,81
1056,normal:trending,67
1057,normal:neutral,50
1058,normal:trending,72
1059,normal:neutral,77
1060,normal:trending,50
1061,normal:neutral,55
1062,normal:trending,66
1063,normal:neutral,63
1064,normal:trending,68
1065,normal:neutral,50
1066,normal:trending,50
1067,normal:neutral,52
1068,normal:trending,58
1069,normal:neutral,88
1070,normal:trending,50
1071,normal:neutral,56
1072,normal:trending,82
1073,normal:neutral,50
1074,normal:trending,50
1075,normal:neutral,53
1076,normal:trending,56
1077,normal:neutral,50
1078,normal:trending,118
1079,normal:neutral,50
1080,normal:trending,112
1081,normal:neutral,50
1082,normal:trending,50
1083,normal:neutral,55
1084,normal:trending,50
1085,normal:neutral,58
1086,normal:trending,50
1087,normal:neutral,59
1088,normal:trending,52
1089,normal:neutral,78
1090,normal:trending,50
1091,normal:neutral,79
1092,normal:trending,53
1093,normal:neutral,60
1094,normal:trending,50
1095,normal:neutral,50
1096,normal:trending,50
1097,normal:neutral,50
1098,normal:trending,54
1099,normal:neutral,50
1100,normal:trending,50
1101,normal:neutral,83
1102,normal:trending,69
1103,normal:neutral,50
1104,normal:trending,50
1105,normal:neutral,50
1106,normal:trending,50
1107,normal:neutral,66
1108,normal:trending,50
1109,normal:neutral,99
1110,normal:trending,50
1111,normal:neutral,62
1112,normal:trending,50
1113,normal:neutral,210
1114,normal:trending,78
1115,normal:neutral,57
1116,normal:trending,54
1117,normal:neutral,50
1118,normal:trending,50
1119,normal:neutral,54
1120,normal:trending,71
1121,normal:neutral,54
1122,normal:trending,51
1123,normal:neutral,66
1124,normal:trending,101
1125,normal:neutral,50
1126,normal:trending,50
1127,normal:neutral,50
1128,normal:trending,50
1129,normal:neutral,50
1130,normal:trending,50
1131,normal:neutral,75
1132,normal:trending,55
1133,normal:neutral,50
1134,normal:trending,89
1135,normal:neutral,78
1136,normal:trending,50
1137,normal:neutral,62
1138,normal:trending,50
1139,normal:neutral,50
1140,normal:trending,62
1141,normal:neutral,50
1142,normal:trending,50
1143,normal:neutral,81
1144,normal:trending,58
1145,normal:neutral,55
1146,normal:trending,76
1147,normal:neutral,50
1148,normal:trending,74
1149,normal:neutral,61
1150,normal:trending,50
1151,normal:neutral,62
1152,normal:trending,50
1153,normal:neutral,61
1154,normal:trending,69
1155,normal:neutral,50
1156,normal:trending,50
1157,normal:neutral,66
1158,normal:trending,50
1159,normal:neutral,92
1160,normal:trending,50
1161,normal:neutral,70
1162,normal:trending,73
1163,normal:neutral,59
1164,normal:trending,50
1165,normal:neutral,50
1166,normal:trending,50
1167,normal:neutral,66
1168,normal:trending,50
1169,normal:neutral,50
1170,normal:trending,50
1171,normal:neutral,52
1172,normal:trending,50
1173,normal:neutral,171
1174,normal:trending,50
1175,normal:neutral,50
1176,normal:trending,73
1177,normal:neutral,60
1178,normal:trending,73
1179,normal:neutral,50
1180,normal:trending,60
1181,normal:neutral,88
1182,normal:trending,50
1183,normal:neutral,56
1184,normal:trending,10
1185,illiquid:neutral,30
1186,normal:neutral,50
1187,normal:trending,52
1188,normal:neutral,50
1189,normal:trending,50
1190,normal:neutral,57
1191,normal:trending,50
1192,normal:neutral,65
1193,normal:trending,50
1194,normal:neutral,64
1195,normal:trending,91
1196,normal:neutral,50
1197,normal:trending,99
1198,normal:neutral,53
1199,normal:trending,58
1200,normal:neutral,52
1201,normal:trending,50
1202,normal:neutral,51
1203,normal:trending,50
1204,normal:neutral,50
1205,normal:trending,67
1206,normal:neutral,52
1207,normal:trending,87
1208,normal:neutral,50
1209,normal:trending,76
1210,normal:neutral,66
1211,normal:trending,51
1212,normal:neutral,89
1213,normal:trending,59
1214,normal:neutral,50
1215,normal:trending,60
1216,normal:neutral,50
1217,normal:trending,61
1218,normal:neutral,64
1219,normal:trending,52
1220,normal:neutral,50
1221,normal:trending,91
1222,normal:neutral,53
1223,normal:trending,58
1224,normal:neutral,50
1225,normal:trending,110
1226,normal:neutral,61
1227,normal:trending,58
1228,normal:neutral,130
1229,normal:trending,57
1230,normal:neutral,52
1231,normal:trending,50
1232,normal:neutral,73
1233,normal:trending,71
1234,normal:neutral,52
1235,normal:trending,55
1236,normal:neutral,50
1237,normal:trending,50
1238,normal:neutral,69
1239,normal:trending,50
1240,normal:neutral,52
1241,normal:trending,50
1242,normal:neutral,52
1243,normal:trending,58
1244,normal:neutral,50
1245,normal:trending,50
1246,normal:neutral,57
1247,normal:trending,51
1248,normal:neutral,50
1249,normal:trending,74
1250,normal:neutral,50
1251,normal:trending,50
1252,normal:neutral,50
1253,normal:trending,53
1254,normal:neutral,50
1255,normal:trending,54
1256,normal:neutral,50
1257,normal:trending,94
1258,normal:neutral,50
1259,normal:trending,50
1260,normal:neutral,50
1261,normal:trending,51
1262,normal:neutral,50
1263,normal:trending,52
1264,normal:neutral,50
1265,normal:trending,122
1266,normal:neutral,75
1267,normal:trending,50
1268,normal:neutral,81
1269,normal:trending,50
1270,normal:neutral,56
1271,normal:trending,50
1272,normal:neutral,50
1273,normal:trending,50
1274,normal:neutral,50
1275,normal:trending,50
1276,normal:neutral,59
1277,normal:trending,50
1278,normal:neutral,50
1279,normal:trending,87
1280,normal:neutral,71
1281,normal:trending,51
1282,normal:neutral,85
1283,normal:trending,50
1284,normal:neutral,106
1285,normal:trending,50
1286,normal:neutral,50
